Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,77,70.005,0.197,25.060,118.610
2,672,106.817,0.740,40.497,159.775
3,1416,155.410,0.737,55.109,101.514
4,742,100.669,0.920,38.288,49.236
5,1863,192.777,0.630,62.610,63.435
6,2114,199.116,0.670,72.863,136.668
7,210,55.027,0.872,21.932,114.228
8,2840,243.226,0.603,97.417,121.569
9,255,65.293,0.752,23.537,12.265
10,163,52.345,0.748,20.809,144.782
11,2526,211.873,0.707,68.600,143.297
12,327,80.137,0.640,31.401,9.162
13,3737,255.848,0.717,88.323,105.767
14,513,94.330,0.724,33.422,128.928
15,1872,229.762,0.446,67.268,131.987
16,1180,144.453,0.711,48.508,81.703
17,410,82.493,0.757,29.155,30.964
18,865,125.397,0.691,45.695,156.801
19,1010,143.803,0.614,51.894,154.916
20,547,99.463,0.695,33.838,34.160
21,1099,157.306,0.558,66.098,107.613
22,503,123.921,0.412,52.355,151.477
23,527,99.137,0.674,37.443,34.114
24,1303,152.363,0.705,50.931,136.591
25,268,65.198,0.792,26.476,100.886
26,321,78.835,0.649,32.016,104.470
27,306,80.041,0.600,32.757,102.339
28,52,81.747,0.098,32.650,62.650
29,655,103.485,0.769,35.609,128.157
30,1088,173.260,0.455,54.672,129.806
31,971,133.402,0.686,54.332,96.340
32,769,115.742,0.721,44.407,35.838
33,521,109.959,0.541,41.437,98.326
34,494,97.106,0.658,34.205,127.875
35,493,93.774,0.705,38.626,111.251
36,2833,212.333,0.790,68.447,25.067
37,315,80.922,0.604,36.056,109.440
38,642,103.945,0.747,35.511,170.272
39,3271,256.213,0.626,85.802,53.531
40,348,78.145,0.716,29.833,140.440
41,1107,147.040,0.643,52.839,119.476
42,1913,178.718,0.753,62.434,58.092
43,1322,162.764,0.627,67.897,133.807
44,1100,128.039,0.843,48.021,58.627
45,674,113.751,0.655,36.401,37.185
46,689,130.395,0.509,44.102,93.900
47,1055,137.750,0.699,45.804,36.119
48,372,77.820,0.772,30.806,166.866
49,688,120.685,0.594,44.011,68.682
50,711,134.743,0.492,46.174,162.350
51,855,122.025,0.722,45.486,146.659
52,463,93.219,0.670,34.015,65.695
53,646,115.226,0.611,42.802,127.405
54,527,100.383,0.657,35.609,141.843
55,563,128.269,0.430,46.271,173.797
56,822,139.320,0.532,53.235,61.991
57,797,119.439,0.702,43.046,149.265
58,771,135.338,0.529,48.508,104.323
59,4498,323.307,0.541,91.082,98.842
60,613,99.923,0.772,33.615,67.249
61,247,63.857,0.761,22.825,118.811
62,1386,169.142,0.609,56.143,175.914
63,494,85.730,0.845,31.906,57.804
64,521,101.263,0.638,37.696,111.801
65,702,124.802,0.566,41.773,168.959
66,1008,137.290,0.672,49.649,124.330
67,2917,240.354,0.635,80.262,149.281
68,486,94.099,0.690,32.016,141.340
69,2973,260.330,0.551,86.833,128.454
70,1059,161.979,0.507,53.600,53.344
71,524,85.960,0.891,29.206,141.953
72,440,113.656,0.428,48.104,136.685
73,30,43.976,0.195,24.187,7.125
74,488,103.945,0.568,41.881,146.689
75,521,107.832,0.563,46.325,76.264
76,15,31.623,0.188,14.422,146.310
77,286,84.064,0.509,37.216,120.700
78,232,61.961,0.759,26.000,22.620
79,414,84.389,0.731,30.414,43.668
80,2062,186.993,0.741,68.600,149.323
81,240,73.798,0.554,31.953,110.136
82,1356,186.993,0.487,61.033,161.862
83,266,69.220,0.698,25.318,99.090
84,182,58.724,0.663,22.804,142.125
85,58,50.584,0.285,14.142,81.870
86,702,133.862,0.492,51.614,125.538
87,656,111.529,0.663,43.186,132.184
88,2741,245.717,0.570,89.286,74.407
89,784,145.794,0.463,52.631,38.830
90,1015,135.758,0.692,51.196,12.407
91,321,77.590,0.670,33.377,81.384
92,472,109.078,0.499,35.171,75.174
93,125,46.006,0.742,16.492,75.964
94,1386,157.210,0.705,65.513,58.736
95,663,101.819,0.804,34.928,166.759
96,1758,183.621,0.655,67.357,139.214
97,491,86.190,0.831,31.828,46.273
98,5451,392.661,0.444,113.635,65.014
99,77,38.747,0.644,17.205,125.538
100,1132,147.920,0.650,52.555,111.194
101,1075,141.217,0.677,43.290,6.633
102,637,110.514,0.655,39.661,56.310
103,247,58.494,0.907,21.633,123.690
104,622,102.699,0.741,36.715,29.358
105,424,93.449,0.610,37.202,126.254
106,511,102.144,0.615,41.231,39.094
107,468,88.086,0.758,28.636,167.905
108,782,112.640,0.775,37.802,127.476
