Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,7669,366.132,0.719,116.765,123.826
2,1450,163.145,0.685,62.801,37.235
3,6216,346.576,0.65,124.403,53.499
4,3975,252.302,0.785,96.876,45.418
5,20,42.674,0.138,30.15,84.289
6,48,111.608,0.048,101.548,32.125
7,4916,270.176,0.846,94.191,93.652
8,21315,643.067,0.648,203.089,174.065
9,8818,393.733,0.715,128.16,69.444
10,1781,196.434,0.58,72.615,67.319
11,1661,161.154,0.804,62.37,131.1
12,17,32.408,0.203,18.028,123.69
,4823.833333,248.2840833,,92.583,
