Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,2867,214.705,0.782,79.246,132.955
2,2840,205.915,0.842,74.686,26.222
3,4221,273.008,0.712,102.577,150.186
4,5548,321.180,0.676,131.244,125.385
5,1689,174.887,0.694,65.253,15.101
6,2031,178.124,0.804,66.098,162.387
7,2476,212.484,0.689,86.215,142.067
8,1172,149.968,0.655,62.201,175.389
9,1627,151.023,0.896,55.227,148.325
10,1201,145.659,0.711,51.624,21.595
11,2866,242.805,0.611,86.035,109.699
12,1864,217.751,0.494,79.404,84.218
13,1454,163.835,0.681,60.465,55.784
14,3396,246.177,0.704,94.578,123.354
15,4101,288.256,0.620,120.037,91.432
16,2401,224.265,0.600,86.977,107.393
17,3006,226.430,0.737,82.710,165.292
18,42659,987.175,0.550,280.794,133.701
19,2661,236.752,0.597,81.707,68.459
20,1841,198.140,0.589,72.250,131.634
21,2538,185.097,0.931,61.033,108.138
22,2013,196.608,0.654,84.380,121.430
23,1050,126.794,0.821,42.544,23.552
24,3516,280.212,0.563,83.295,85.179
25,3114,250.985,0.621,85.796,158.819
26,2987,248.129,0.610,94.530,6.072
27,2744,221.527,0.703,81.123,120.358
28,9497,475.630,0.528,147.872,122.293
29,2244,198.600,0.715,72.007,27.277
30,10558,429.433,0.719,136.059,114.305
31,3662,256.459,0.700,102.000,118.072
32,897,130.356,0.663,49.254,95.826
33,3235,240.354,0.704,86.683,101.310
34,1538,151.903,0.838,57.706,98.973
35,2149,182.090,0.814,64.327,78.341
36,5665,329.511,0.656,111.508,150.446
37,2320,204.518,0.697,69.260,17.650
38,8198,409.822,0.613,145.774,84.094
39,2407,216.220,0.647,79.612,122.692
40,2929,224.225,0.732,75.664,150.725
41,8756,418.517,0.628,130.000,126.870
42,1803,170.713,0.777,58.310,95.906
43,42,59.144,0.151,29.428,170.218
44,2828,216.220,0.760,80.411,100.751
45,2569,213.903,0.706,70.328,60.154
46,901,124.993,0.725,52.173,77.829
47,11415,509.491,0.553,162.742,129.265
48,1501,179.964,0.582,76.059,28.250
49,3079,276.571,0.506,113.225,35.655
50,8262,447.918,0.517,159.261,172.786
51,5830,384.673,0.495,124.085,66.741
52,1173,137.750,0.777,47.011,66.161
53,3724,260.790,0.688,91.924,8.130
54,2425,193.697,0.812,66.370,149.184
55,1671,184.233,0.619,69.080,112.109
56,3026,222.694,0.767,82.861,162.440
57,2209,193.197,0.744,66.603,48.652
58,1593,208.922,0.459,85.988,171.304
59,16,31.583,0.202,16.492,104.036
