Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,25,29.132,0.37,10.44,163.301
2,985,169.524,0.431,68.469,173.29
3,446,88.736,0.712,32.14,5.356
4,613,116.892,0.564,44.204,127.648
5,14825,486.659,0.787,175.354,117.88
6,2118,197.91,0.68,75.213,144.197
7,27647,728.488,0.655,237.844,125.762
8,1461,154.68,0.767,61.27,153.853
9,1088,128.824,0.824,45.354,14.036
10,1169,137.52,0.777,53.535,147.2
11,5895,323.918,0.706,121.165,41.319
12,4782,314.168,0.609,113.846,44.644
,5087.833333,239.70425,,86.5695,
